PLAYER_NAME,YEAR,SOURCE,BB_DATE,BB_RANK,DRAFT_RANK,APPROV_VAL,BB_TEXT,,,,,
Timothe Luwawu,2016,SI,6/20/16,11,,,"Two-way wings are always a valuableÿcommodity, and Luwawu_s one of the best ones in a thin class. He_s a highlight-caliber athlete with a wingspan over 7_0_ feet and shouldn_t slip too far from here. Scouts I spoke with felt he was closer to NBA-ready than most. Luwawu_s got a more diverse offensiveÿgame than just his dunk reel, and has made big strides in the past year. There_s a lot to like with him.",,,,,
Deyonta Davis,2016,SI,6/20/16,12,,,"Everything is about projectionÿwith Davis. His length, quick feet and great shot-blocking instincts portend defensive success. With improving touch and a semblance of a jump shot, you can mold him on offense, too. He played a good bit for Tom Izzo, which matters, but there_s not much ofÿa sample size or history of production to bank on. He_s a long way away from ready, but then again, there are a lot of guys in that same boat this year.",,,,,
Domantas Sabonis,2016,SI,6/20/16,13,,,"Sabonis plays exactly how you_d think the son of a Hall of Fame European big man would. Great fundamentals, soft hands, high motor and IQ. His Gonzaga production backs things up well. The issue is his lack of explosion and length, which raises questions about exactly what translates at the next level. Mid-first round and onward, Sabonis offers some safe value. There_s speculation he has a promise from a team in the late lottery._ SI Longform: Sabonis_s crazy recruiting saga",,,,,
Furkan Korkmaz,2016,SI,6/20/16,14,,,"The combination of athleticism, shooting and youth make Korkmaz a very interesting stash candidate. He_s starred for Turkey at youth levels and shown flashes while playing with Efes_s senior team, but it_s worth noting how relatively small his sample size is against elite competition. He_s a long-term investment, not an immediate-impact selection.",,,,,
Skal Labissiere,2016,SI,6/20/16,15,,,"I have a hunch Labissiere slides toward the late teens on draft night. There_s just too much riding on projection with an older prospect who_s behind developmentally and with little history of consistent production. He_s big and might be able to shoot it and block shots, but he_s already 20 and has filling out left to do. Labissiere missed his junior season of high school with a back injury that has left lingering questions for teams. He could be a worthwhile gamble for teams with the time and resources to develop him. But, as one scout put it: _It_s really hard to play in the NBA not knowing how to play basketball.__ After the Quake:ÿLabissiere_sÿjourney to UK",,,,,
Denzel Valentine,2016,SI,6/20/16,16,,,"Valentine_s production (19.2 points, 7.5 rebounds, 7.8 assists) was outstanding last season, and his feel and playmaking help balance the lack of eye-popping athletic measurables. He won_t play the same ball-dominant role as a pro, but you_re buying him as a secondary ballhandler who can space the floor and hoping he catches up defensively. Teams have concerns about the condition of his right knee, which could cause him to slip a bit on draft night.",,,,,
Demetrius Jackson,2016,SI,6/20/16,17,,,"Jackson is tough and extremely athletic and has a good chance to be the second point guard drafted. He_s coming off a strong year at Notre Dame, but his shooting percentages dipped as he shouldered more of the scoring load. Skill-wise, he_s somewhat a master of none. His actual production will have to catch up to his tools. Scouts wonder if he_s cut out to be more than a reserve long-term, but he has decent value in this range.",,,,,
Wade Baldwin,2016,SI,6/20/16,18,,,"Baldwin_s combine measurements_6' 4"" with aÿ6' 11"" wingspan_certainly validated his case as a defensive stopper with a chance to be more. His offense hasn_t sold some scouts, and he_s not a natural point guard in the purest sense, but he can hit a shot and could perhaps be better suited for a lower-usageÿrole. Multiple scouts have cited his tendency to overthinkÿand get in his own way. Still, his defensive potential gives him a relatively high floor.",,,,,
Ante Zizic,2016,SI,6/20/16,19,,,"Near the top of the list among stash candidates is Zizic, a garbage-man type who knows his role, works hard on the glass and is physically mature enough to accomodate his preferred style. Impressive production as a teenager in the Adriatic League (13 points, eight rebounds per game) definitely stands out. Zizic_s skills have a ways to go, but it_s easy to see him as a nice complementary piece on the inside.ÿ",,,,,
Dejounte Murray,2016,SI,6/20/16,20,,,"One optimistic scout calls Murray, simply, _a baller._ _He does some things you can_t teach,_ another says. This is the crux of his intrigue, and while he_s going to need some time, he_s a definite upside play as a scoring combo guard. His shot is a work in progress. On talent and projection you can justify him in the late lottery, but his range appears pretty wide._ Mock Draft roundtable: Predicting first round",,,,,
Taurean Prince,2016,SI,6/20/16,21,,,"Prince did a little bit of everything for Baylor, with a game one scout described as _unconventional._ He_s long and strong and should be able to cut it athletically, and while he struggled some as a senior when tasked with making plays on the ball, odds are he won_t be asked to do as much of that in the NBA. Although he lacks an elite skill to hang his hat on, he should be able to step into a rotation pretty quickly.",,,,,
Tyler Ulis,2016,SI,6/20/16,22,,,"Ulis has solidified himself as a mid- to late-first rounder, and he_s probably the most instinctive passer among available guards. He won_t make many mistakes, and he_ll make everyone around him better. _Three inches taller,_ one scout says, _and he would be the best point guard in this draft._ Medical concerns about his hip and his extremely thin frame gives some reason for pause.",,,,,
Cheick Diallo,2016,SI,6/20/16,23,,,"Diallo is bouncy, aggressive and has a reputation for playing extremely hard. With added seasoning, he should become a useful energy big.His considerable length helps compensate for his lack of height. He_s not a scorer beyond the dunks and hustle bucket, which limits his upside. Diallo was buried in the Kansas rotation, but will be granted more patience from here.ÿ",,,,,
Deandre Bembry,2016,SI,6/20/16,24,,,"Bembry_s one of those players who just gets it. He_s got a mature game and the college production to back it up. He_s low-risk in that you can see him meshing into any offense with his playmaking and versatility. The major question is his three-point shot, but it_s not broken and if you play him alongside shooters it should alleviate some of those spacing concerns. Bembry could make an impact early in his career and help a playoff team next season._ Bembryÿcarries heavy heart into the draft",,,,,
Ivica Zubac,2016,SI,6/20/16,25,,,"Zubac turned heads with insane production at the 2015 FIBA U19 Worlds (33.7 PER, 17.6 points, 7.9 rebounds). He_s a strong finisher with a great frame and nice post-up game. Zubac has potential to cut it defensively and should be a fit at the next level as a screen-setter and rim-runner. He apparently prefers to come over to the NBA next season, but can justify a place on someone_s bench given his tools and possibilities. If you can stash him, even better.",,,,,
Thon Maker,2016,SI,6/20/16,26,,,"Opinions remain mixed on Maker, but it seems scouts are beginning to come around a bit. He_s a legit 7-footer, long and mobile, but, of course, rail-thin. People like his intangibles, yet there are still a ton of ifs when figuring out which of his strengths actually translate to the league. He might be an athletic energy big who can step out and make a shot, he also may never be able to bang inside. Maker has been working out against Brandon Ingram leading up to the draft and apparently held his own. There_s a wide range of outcomes here._ How does Maker project as an NBA player?",,,,,
Juan Hermangomez,2016,SI,6/20/16,27,,,"Hernangomez enjoyed a strong season in Spain and won_t turn 21 until September. A skilled stretch-four who could eventually play some three, he_s comfortable getting his offense spotting up and finishing inside. One scout cited Hernangomez_s high energy level and deceptive leaping ability. It helps he_s already playing legit minutes and producing in a very tough league. Think late first round.",,,,,
A.J. Hammons,2016,SI,6/20/16,28,,,"There_s no reason Hammons shouldn_t be a useful rim protector from day one. He_ll turn 24 soon, which will keep him out of the upper reaches of the draft, but he_s an NBA-level talent with an improving offensive skill level and pro-ready body. The question with him has always been his motor, and teams are fully aware of some off-court discipline issues at Purdue. There are a lot of ifs, but Hammons could surprise if the lightbulb starts to go off.",,,,,
Malik Beasley,2016,SI,6/20/16,29,,,"An athletic slasher with a nose for the basket, Beasley demonstrated the ability to score at all three levels in his one season at FSU, and improved as the year went on. He can shoot it, has a great frame and brings notably strong intangibles in terms of makeup and competitiveness. He has a metal rod in his leg after a stress fracture injury that will concern teams.",,,,,
Stephen Zimmerman,2016,SI,6/20/16,30,,,"Zimmerman has great size and mobility, and a pretty nice shooting touch. He_s not a guy who really loves to bang inside and has a tendency to float away from the basket too much. He_ll need to bulk up to play center and to defend his position. He_s a dart throw, but taking a chance on a stretch big with some upside isn_t the worst thing in this range.",,,,,
Diamond Stone,2016,SI,6/20/16,31,,,"Stone can really score inside, and he_s still quite young. He has a good amount of upside because of it. But he was inconsistent in his one college season, didn_t rebound extremely well and needs work on his body and conditioning. Scouts are concerned how he_ll handle the adjustment to the NBA_s rigorous demands. The questions about makeup and his ability to stay on the floor defensively may hurt his stock.",,,,,
Pat McCaw,2016,SI,6/20/16,32,,,"As three-and-D types go in this draft, McCaw checks out well: his shooting stroke and defensive length (6' 10"" wingspan) are tangible strengths, and he_s developing as a playmaker. He could provide first-round type value if it all pans out, but he_s extremely skinny and will take some time to mature.",,,,,
Caris LeVert,2016,SI,6/20/16,33,,,"LeVert would probably be a lottery pick if not for his extensive history of leg and foot injuries. That said, he was extremely productive in college and has one of the more complete skill-sets among guards in this class. He could be extremely valuable and a steal if he falls into this range, but he could also just get injured again.",,,,,
Malachi Richardson,2016,SI,6/20/16,34,,,"One of the biggest climbers in recent weeks, Richardson parlayed his moment in the NCAA tournament into serious NBA looks and could go in the first round given his frame and shooting potenial on the wing. He_s a bit one-dimensional at this stage, looking mostly for his offense, and isn_t the most explosive athlete. There are still more questions than answers.",,,,,
Damian Jones,2016,SI,6/20/16,35,,,"People are somewhat split on Jones, whose physical tools and defensive ability profile well. He never quite put everything together at Vandy, but in a simplified NBA role, he could thrive. His athleticism has bought him a chance to rectify all of that. He has a case in the late first round.",,,,,
Malcolm Brogdon,2016,SI,6/20/16,36,,,"Given he_s one of the most experienced players in the draft, it_s easy to see Brogdon sneaking into a rotation right away, a la Norman Powell or Josh Richardson. He_s not a crazy upside play, but a diversified two-way skill-set certainly holds appeal. His nearly 7' 0"" wingspan pops out, although he_s not all that explosive or quick. You kind of know what you_re getting here.",,,,,
Ben Bentil,2016,SI,6/20/16,37,,,"Bentil profiles as a quality rebounder with good touch who can also hit an outside shot, and has long enough arms to compensate for positionally relative lack of height. He_s not especially skilled, but if you carve out the right role for him and he commits to doing the small things, he might be a player.",,,,,
Brice Johnson,2016,SI,6/20/16,38,,,"Johnson_s outstanding senior season for the Tar Heels didn_t wipe away three years of inconsistency. His lack of bulk could make his NBA transition tougher, even as a college senior. Still, he_s quite the athlete and could become a viable energy big with his ability to finish on the interior. If a team needs immediate help, he could go higher than this.",,,,,
Petr Cornelie,2016,SI,6/20/16,39,,,"A stretchy, fluid big man with legit size, Cornelie_s ability to shoot it and run the floor should get him picked. Bigs with his type of profile always have intrigue. He_s a solid second-round investment.",,,,,
Zhou Qi,2016,SI,6/20/16,40,,,"He_s enormous, mobile, blocks shots and can shoot jumpers. Zhou also weighs next to nothing and has yet to be tested by elite competition. Could make for a very unique piece ... could also be out of the league very quickly.",,,,,
Chinanu Onuaku,2016,SI,6/20/16,41,,,"He brings a legitimate defensive presence inside and showed well at the combine. He_s got good size, but not much of an offensive skill-set to speak of. Still just 19, Onuaku has a chance to become a rotational big down the line.",,,,,
Gary Payton,2016,SI,6/20/16,42,,,"Of course, the bloodlines are working for Payton, who_s a tremendous athlete and solid defender. His game is well-rounded, but the questions lie with his jump shot, which will likely keep him out of the first round.",,,,,
Robert Carter,2016,SI,6/20/16,43,,,"Another combine standout, Carter has slimmed down from his days at Georgia Tech and presents a wide bag of tricks on offense, both facing up and with his back to the basket. His defense is a different story.",,,,,
Paul Zipser,2016,SI,6/20/16,44,,,"Zipser recently won MVP at the prestigious adidas Eurocamp and has a well-developed set of skills. He_s a pretty good athlete who can play defense and hit a jump shot. If he can does those two things well enough, he has a chance to stick around. He seems to enjoy filling a role.",,,,,
Joel Bolomboy,2016,SI,6/20/16,45,,,"Freakishly athletic with strong mid-major production on his resum‚, Bolomboy_s hallmark ability is rebounding with a dash of everything else sprinkled in. He_s got a somewhat unorthodox game and will need to be molded, but could be quite the dice roll. He_s still a bit raw for his advanced age.",,,,,
Pascal Siakam,2016,SI,6/20/16,46,,,"Siakam_s already 22, but his size, ability to get up and down the floor and competitive spirit helped him stand out at the combine. The native of Cameroon averaged 20 points, nearly 12 rebounds and two blocks last season, and that production combined with his tools make him an intriguing sleeper. He could be a great defender given his length.",,,,,
Guerschon Yabusele,2016,SI,6/20/16,47,,,"Besides having the best name in the draft, Yabusele brings a long, burly frame, good hands and a nice touch at the basket. He can also face up and hit a jump shot. His unique tools should get him picked, but he_s a total work in progress on defense and could stand to slim down.",,,,,
Michael Gbinije,2016,SI,6/20/16,48,,,"The more polished of the two available Syracuse guards, Gbinije was a bit of a forgotten man in college after getting buried at Duke, but bloomed late, showed well at the combine, and has already played internationally for Nigeria. He_s about to turn 24, but his size, playmaking and shooting (though streaky) have appeal.",,,,,
Isaiah Whitehead,2016,SI,6/20/16,49,,,"Though Whitehead is a talented scorer and competitor, you still wonder whether he can handle lead-guard responsibilities in the NBA. His ability to shoot off the dribble sets him apart. He has the ability to go much higher than this, but overall inconsistency and the fact he_ll have to find an actual role beyond _gunner_ leaves room for doubt.",,,,,
Karl-Anthony Towns,2015,SI,6/22/15,1,,,"Towns was a known commodity coming out of high school, having been named the Gatorade National Player of the Year and a McDonald_s All-American. Still, it seemed in November that Duke freshman Jahlil Okafor would remain atop his class (where he_d been since eighth grade) and be selected first in the NBA draft. Okafor may still go No. 1, but Towns is regarded as the superior prospect in most draft rankings. Upside is key with Towns, as his spot-shooting and three-point stroke weren_t on display at Kentucky but could emerge in the right NBA system. His defensive effort and ability_instilled in him by his father, a former player at Monmouth University_have made him the most complete big man in this year_s draft. Towns has ideal size, strength and athleticism to be a star NBA center. He plays with passion on both ends and moves up and down the court well for a player his size. He has the natural feel of an elite shot-blocker and is an above-average rebounder. His offensive game is still developing, but his footwork in the low post is advanced for his age and his free-throw shooting (81.3%) helps support the idea that he may be the second-best shooting big man (behind Frank Kaminsky) in this year_s draft. He plays with his head up and excels at passing out of double teams. He has tremendous potential for growth offensively in the NBA, and the work ethic to become the most valuable long-term pick in this draft. Fouling and physicality were his biggest problems in his one season at Kentucky. He was called for 5.6 fouls per 40 minutes, which negates some of the praise for his ability to block shots. Like many big men, he struggles when stuck near the perimeter, particularly on pick-and-rolls. He flashed an increased assertiveness during the NCAA tournament, but he will be asked to do more right away as a rookie. Is he ready to take on the added responsibility? Physically, another 10-15 pounds on his frame would help prevent him from being pushed around by NBA bigs.",,,,,
Jahlil Okafor,2015,SI,6/22/15,2,,,"In his one season at Duke, the Chicago native commanded the spotlight from start to finish, all the way to a title in Indianapolis. Okafor is as proven a commodity as there is in this draft and the safest bet to have a long, productive career. He_s proven himself under pressure and now has won titles in high school, college, and internationally, at USA Basketball_s developmental levels. His conditioning has been a question in the past, but as Okafor rounds into pro-quality playing shape, he has the talent to be the type of player a team can build its offense around for the next decade. If the modern back-to-the-basket player is a myth, then Okafor is Bigfoot, armed with preternatural instincts within 10 feet of the rim. He enters the NBA with a post game more developed than the majority of big men around the league and is a sure-fire bet to command touches and defensive attention immediately. He_s unselfish, an advanced passer out of double-teams and his midrange game has started to come along. Okafor has the strength to compete inside, the size to guard his position and his 7_5_ wingspan will help him as he develops defensively. It_s more a matter of when, not if, he becomes an offensive anchor. Though his offensive game is rightfully heralded, Okafor_s free-throw shooting leaves a lot to be desired (51% from the line at Duke). If the NBA changes its hacking rules, the concerns die down, but continued struggles would place a cap on his productivity. Okafor_s defensive performance in college stands as a greater issue, as he was often slow on help rotations and isn_t a leaper, which limits his presence when contesting shots. His defensive rebounding could be much better considering his size and length. His offense should keep him on the floor, but he could be a liability in a pick-and-roll heavy league. Improved positioning and communication is teachable, but Okafor could struggle against NBA athletes. He_s been coachable his entire career, which should serve him well.",,,,,
D'Angelo Russell,2015,SI,6/22/15,3,,,"Before college, no one saw D_Angelo Russell coming. In the NBA, no one will miss him. D_Angelo Russell was never really the man on his teams until arriving at Ohio State. He played high school ball at Montverde (Fla.) Prep with Kentucky_s Dakari Johnson and Florida_s Kasey Hill and played AAU with Duke_s Grayson Allen. But in Columbus, he was finally given a chance to be in the spotlight_and he took advantage. Although he was a fringe top-25 recruit in high school, he_ll go no later than No. 5 in the NBA draft. That_s thanks to his prenatural maturity, court awareness and ability to produce points for his teammates and himself. Russell displayed tremendous poise at point guard, despite not having played the position in high school. He has tremendous court vision and perhaps has the best touch on his passes of any prospect in this draft. Some of his turnovers last year, in fact, were due to his teammates_ inability to wield his surprise assists. He has a filthy crossover and handles the ball against top-flight defenders with ease. His 6_9_ wingspan makes him an asset defensively, and his court awareness makes him an underrated pickpocket defensively. Developmentally, he is way ahead of the curve for players his age yet still has tremendous upside. He can shoot from midrange, beyond the three-point line and finish at the rim on drives. He didn_t play point guard for the full year at Ohio State; instead, he slowly took more minutes from Shannon Scott in a hybrid role. He still needs to prove he can be a full-time point guard, but he is too valuable to play exclusively off the ball. He is not an explosive athlete, instead relying on his vision and basketball IQ to get a step on his defenders. On defense, he needs to play with more consistent intensity.",,,,,
Emmanuel Mudiay,2015,SI,6/22/15,4,,,"A native of the Congo, Mudiay moved to the United States when he was 5 years old. In high school in Dallas, he starred alongside former Baylor center Isaiah Austin and won a Class 4A title. Despite offers from Kansas, Kentucky and other top programs, he chose to stay home and go to college at SMU. But the cloud of a possible NCAA investigation instead sent Mudiay to China, where he played professionally for Guandong on a one-year, $1.2 million deal. Where he is selected in the 2015 draft could have an impact on future players choosing to play professionally in Asia over American colleges. Brandon Jennings, who followed a similar path as a teenager and played in Italy in 2008, was drafted No. 10 overall in 2009. Mudiay fits the prototype of the modern NBA point guard with his ability to create shots for his teammates as well as himself. He excels off the dribble and has a killer crossover. When he gets into the lane, he finishes at the rim. In the paint, he can back down smaller guards and exploit mismatches. His size and length are ideal for a lead guard, with his 6_8_ wingspan complementing his lean frame. That wingspan can make him a menace on defense, where he has yet to show his full potential. He has good vision and feel on the defensive end, and he could quickly improve on that end of the floor in the NBA. His 6.5 rebounds per game in China showed his vision and awareness in grabbing long boards. He is very comfortable operating in the pick-and-roll, which is the heart of most NBA offenses. Jump shooting will be his biggest concern in the NBA. According to DraftExpress, he shot 30% from three-point range overseas. He has a tendency to take off-balance shots from bad angles, and that is the cause of some of his struggles, but it doesn_t explain his poor free-throw shooting (58.1%). His mechanics can be suspect, particularly his release. Although he creates lots of good looks for teammates, he is also prone to errant passes and turnovers. He suffered an ankle injury in China, and his health and physical shape are still minor concerns heading into the draft.",,,,,
Mario Hezonja,2015,SI,6/22/15,5,,,"There_s a reason why Hezonja_s top stats come with the caveat _per 36 minutes._ Playing on one of the top teams in Europe, Hezonja only averaged 16.1 minutes per game for FC Barcelona in Euroleague play. There have been multiple reported reasons for his lack of playing time, ranging from his attitude to his tendencies to operate outside to the playbook. But when he has been on the court, Hezonja has shined. He possesses a rare combination of athleticism and shooting ability. Hezonja_s dossier is prototypical for an elite NBA wing player and could excel in a free-flowing system that allows for the 20-year-old to learn on the fly. Hezonja might very well be the best shooter in this draft class. He has picture-perfect form, rising with great elevation and firing shots with an extremely fluid release. He has great size and tremendous athleticism for a wing player in today_s NBA as well. Hezonja is explosive off the dribble, using a quick first step to blow past defenders. And once he gets into the paint, he has the leaping ability and power to finish strong at the rim and challenge bigger defenders. An aggressive offensive player, he isn_t shy about putting his head down in pursuit to the rim. Very few players possess this combination of fundamental skill with sheer elite athleticism. While Hezonja can get to the rim off the bounce, his ball-handling still needs to be tightened. Working towards the top of the key, Hezonja has the tendency to waste movement going east to west and often over-dribbles himself into hoisting poor shots towards the end of the shot clock. Hezonja plays with incredible confidence and swagger, but that has often translated into poor body language on the court when he_s not intricately involved. His behavior has raised serious concerns back to the junior level.",,,,,
Stanley Johnson,2015,SI,6/22/15,6,,,"An intense competitor, Johnson starred for an Arizona team that went to the Elite Eight. Although he may not become a No. 1 option, his two-way ability should make him a valuable piece at the NBA level. He_s a load in transition with tremendous defensive potential and enters the league with a pro-ready body_Johnson is a bit undersized for a small forward, but his athletic gifts help make up for that. He just turned 19 and presents an extremely malleable set of skills. Johnson doesn_t have an elite skill on offense, but does a lot of things very well. He came up in high school relying heavily on bully-ball tactics, as he was bigger, stronger and faster than his peers. At present, he_s a power wing who could eventually be a real threat in half-court situations. His wide lower half could help him develop a back-to-the-basket game and make him an ideal small-ball power forward. He can guard multiple positions and is a great fit for the modern league, with a nearly seven-foot wingspan, quick feet and solid awareness. You can see him playing a valuable jack-of-all-trades defensive role pretty quickly. Extremely confident and good-natured, Johnson should transition just fine. Entering college, people were worried about Johnson_s shooting, but his freshman season at Arizona showcased surprising perimeter ability. He came in as a much better three-point threat (37%) than most envisioned. Johnson didn_t play with many quality shooters at Arizona and a team with better spacing could also mitigate some of his woes. Somewhat surprisingly, he struggled to finish in the paint at times, an area he_ll have to improve upon to become a dynamic threat in the NBA. He might need time to grow into a consistent scorer. Johnson also did little in the way of creating opportunities for others at Arizona, though he_s done that in the past, and it would serve him well at the next level.",,,,,
Justise Winslow,2015,SI,6/22/15,7,,,"Often overshadowed by Jahlil Okafor and Tyus Jones, Winslow was nevertheless critical to Duke_s national championship run last season. The son of former second-round pick Rickie Winslow_who only played in seven NBA games_Justise came to Durham with an NBA-ready body and a skill set that would complement his blue-chip teammates. He quickly became known for his end-to-end speed and was a highlight-reel-in-the-making anytime he touched the ball in transition. He isn_t the most polished player in the draft, but he_ll be able to help teams from Day One and could develop into an All-Star. Winslow_s biggest strength is his prowess in transition. Although he at times appears out of control, he has terrific vision, feel and control. According to Synergy Sports, he averaged 1.156 points per possession on transition plays, the highest of any offensive category. His athleticism is also on display defensively, where he can meet the challenge of defending NBA wings_perhaps the biggest hurdle most young players must overcome to play the 3 position professionally. He was forced to defend power forwards often during his time at Duke and can stand up for himself in the paint; but he_s more of a threat on the perimeter, where his lateral quickness is a big asset. He is also a winner_he was on three state championship teams in high school and won a national title at Duke. Although he has the potential to transition to a wing role in the NBA, he primarily played power forward for the Blue Devils last season. To improve offensively, he needs to work on ball-handling in half-court sets and build a consistent jumper. Although he shot 41.8% from three-point range, he managed just 64.1% from the stripe. After playing on an elite college basketball team, many will wonder if Winslow can carry a team by himself or if he is better suited as a valuable role player.",,,,,
Willy Cauley-Stein,2015,SI,6/22/15,8,,,"Willie Trill Cauley-Stein_he recently legally changed his middle name to Trill_is one of the biggest personalities and best prospects in the NBA draft. After backing up Nerlens Noel as a freshman at Kentucky, Cauley-Stein emerged as a sophomore, swatting 106 shots (second in school history). After breaking his leg during the NCAA tournament, Cauley-Stein elected to return for his junior year and blossomed as the Wildcats_ elder statesman. He was one of college basketball_s best defenders on one of the sport_s all-time best defensive teams.Defense, defense, defense. Cauley-Stein is hands-down the best defender in this draft, and that includes guards and wings as well. He is an elite shot-blocker thanks to his awareness, vision and wingspan. He also shines on pick-and-roll defense and can handle guarding ball-handlers on the perimeter. He is comfortable playing from the low block to beyond the three-point arc defensively. His effort and intensity level were second to none on a star-studded Kentucky team last season and he has no problem diving for loose balls, setting screens or generally doing the necessary dirty work. Don_t sleep on his mid-range jump shot, either. His main offensive asset is as a rebounder, where he has good vision and length to track down boards. Offense, offense, offense. Cauley-Stein_s main offensive move in college was exploiting undersized centers for dunks. He has almost no moves in the low block and hasn_t shown an ability to back down defenders. He at times looks lost on the offensive end of the floor and can struggle with positioning. He has improved dramatically as a free-throw shooter_from 37.2% as a freshman to 61.7% a year ago_but must show more of an ability to consistently hit 15-footers if he wants to play big minutes as a pro. He has often been accused of being too passive, and indeed he had some truly bad games even a year ago at Kentucky. He_ll need to learn to give maximum effort each game during the significantly longer NBA season.",,,,,
